id,text,timestamp,source,symbols,company_names,url,verified
1.02E+18,Willis Towers Watson $WLTW Price Target Increased to $183.00 by Analysts at Citigroup https://t.co/vqZrY2DUhV,Thu Jul 12 14:49:09 +0000 2018,WeekHerald,WLTW,Willis Towers Watson Public Limited Company,http://weekherald.com/?p=2985853,FALSE
1.02E+18,Why be a loser in this market with the returns you can make trading options? Get the best money-making options trad… https://t.co/zG2SAq8ePK,Thu Jul 12 14:50:35 +0000 2018,KevinMchorse,ADSK,Autodesk,https://twitter.com/i/web/status/1017420965775585283,FALSE
1.02E+18,RT @SeekingAlpha: $CVIA $EMES $HCLP $SLCA $SND $WTTR https://t.co/muoW2uKsvg,Thu Jul 12 14:51:09 +0000 2018,NewYorkbuffett,SLCA,U.S. Silica Holdings,https://seekingalpha.com/article/4186846-select-energy-q2-shaping-blowout?source=feed_f,FALSE
1.02E+18,Morgan Stanley Raises T. Rowe Price Group $TROW Price Target to $116.00 https://t.co/SOVOEX2hO3,Thu Jul 12 14:51:26 +0000 2018,dakotafinancial,TROW,T. Rowe Price Group,http://dakotafinancialnews.com/?p=313558,FALSE
1.02E+18,Willis Towers Watson $WLTW Price Target Increased to $183.00 by Analysts at Citigroup https://t.co/DTlZHXE25Z,Thu Jul 12 14:51:35 +0000 2018,OlympiaReport,WLTW,Willis Towers Watson Public Limited Company,http://theolympiareport.com/?p=920054,FALSE
1.02E+18,EQT $EQT Price Target Cut to $62.00 by Analysts at Morgan Stanley https://t.co/AruoXEQ3RB,Thu Jul 12 14:52:10 +0000 2018,ledgerzette,EQT,EQT Corporation,http://ledgergazette.com/?p=2821871,FALSE
1.02E+18,Citigroup Raises Extra Space Storage $EXR Price Target to $103.00 https://t.co/5hLWnHuimz,Thu Jul 12 14:52:38 +0000 2018,WatchlistN,EXR,Extra Space Storage Inc.,http://zpr.io/6a5WQ,FALSE
1.02E+18,Morgan Stanley Trims Franklin Resources $BEN Target Price to $32.00 https://t.co/knMrcy3Ycx,Thu Jul 12 14:53:55 +0000 2018,ThisLincolnian,BEN,Franklin Resources,http://thelincolnianonline.com/?p=2179138,FALSE
1.02E+18,Short sale vol (not short interest) for $PDCO on 2018-07-11 is 48%. https://t.co/GHNOzff9xK $MCK 59% $ABC 39% $OMI 64% $LIVN 46%,Thu Jul 12 14:54:01 +0000 2018,shortvolumes,MCK,McKesson Corporation,http://shortvolumes.com/?t=PDCO,FALSE
1.02E+18,Citigroup Raises Extra Space Storage $EXR Price Target to $103.00 https://t.co/9ilaIi0qiT,Thu Jul 12 14:54:31 +0000 2018,TickerReport,EXR,Extra Space Storage Inc.,http://tickerreport.com/?p=3631535,FALSE
